region,market,week_ending,type,avg_selling_price,total_units_th
West,San Francisco,2023-09-03,Organic,1.741552434,71.688
South,Miami/Ft. Lauderdale,2019-05-05,Conventional,1.42,1144.315
West,Boise,2019-12-29,Conventional,0.93,116.303
Midwest,Cincinnati/Dayton,2024-06-16,Organic,2.02534958,29.296
West,Boise,2022-07-31,Organic,2.673017608,5.411
West,West Tex/New Mexico,2019-10-27,Conventional,0.87,779.649
Midwest,Indianapolis,2017-01-02,Organic,1.76,1.956
Midwest,Chicago,2022-04-24,Conventional,1.449168279,1048.321
West,San Francisco,2018-09-02,Organic,2.39,29.894
West,Spokane,2024-09-22,Organic,2.661873207,4.917
South,Atlanta,2017-01-02,Conventional,0.93,547.566
Midwest,Columbus,2020-02-16,Conventional,0.98,201.904
Northeast,Pittsburgh,2020-01-26,Conventional,1.26,121.953
South,Richmond/Norfolk,2024-06-23,Conventional,1.16762661,348.486
Midwest,Chicago,2018-05-27,Conventional,1.19,926.111
South,Charlotte,2021-02-14,Organic,1.335642395,25.835
West,Denver,2019-10-27,Organic,1.65,25.115
South,Miami/Ft. Lauderdale,2018-08-12,Conventional,1.37,706.048
West,San Francisco,2021-03-07,Organic,1.631354661,100.2
Northeast,Hartford/Springfield,2024-12-08,Organic,1.447208044,27.793
West,Portland,2020-06-28,Conventional,1.16,779.329
South,Charlotte,2023-04-23,Organic,1.249797472,33.344
Midwest,Cincinnati/Dayton,2018-09-02,Conventional,1.26,271.667
West,San Francisco,2023-09-17,Organic,1.953889233,59.816
Midwest,Indianapolis,2018-03-25,Organic,1.28,9.507
South,Baltimore/Washington,2019-02-24,Organic,1.29,51.18
Midwest,Grand Rapids,2018-02-18,Organic,1.29,7.659
South,Roanoke,2021-08-15,Organic,1.579862339,13.311
Northeast,Hartford/Springfield,2023-09-24,Organic,1.598665293,23.137
Midwest,Detroit,2020-09-13,Conventional,0.84,589.766
West,San Francisco,2022-05-08,Conventional,1.466395562,867.096
Midwest,Chicago,2022-01-23,Organic,1.445792196,94.936
West,San Francisco,2021-09-26,Organic,1.8221215,77.009
West,Boise,2024-10-20,Conventional,1.355890037,110.48
West,San Francisco,2024-02-25,Conventional,1.031302791,877.702
Northeast,Philadelphia,2022-01-16,Organic,1.637739288,40.725
South,Charlotte,2017-02-19,Conventional,1.33,198.558
Northeast,Albany,2019-02-10,Organic,1.24,4.484
Midwest,Columbus,2019-06-09,Conventional,0.95,273.611
West,Sacramento,2017-07-02,Conventional,1.55,509.256
Midwest,Indianapolis,2021-08-08,Organic,1.526414735,13.166
Northeast,Buffalo/Rochester,2019-05-19,Conventional,1.28,197.218
South,Charlotte,2020-10-11,Conventional,1.12,326.222
West,Spokane,2020-06-28,Conventional,1.3,124.347
South,Nashville,2019-09-01,Conventional,1.07,278.335
South,Orlando,2019-08-04,Organic,1.68,0.465
South,Roanoke,2023-07-16,Conventional,1.096546177,192.332
West,Spokane,2024-01-28,Conventional,1.148758973,88.128
Northeast,Hartford/Springfield,2024-02-25,Organic,1.288329742,36.634
South,Orlando,2024-12-22,Organic,1.461162185,40.05
South,Nashville,2023-11-12,Organic,1.725350037,24.971
West,Denver,2019-01-27,Organic,1.25,29.887
South,Jacksonville,2017-09-17,Organic,2.39,5.488
West,West Tex/New Mexico,2017-05-28,Organic,1.65,18.799
South,Atlanta,2021-01-24,Conventional,0.801632402,903.891
South,Roanoke,2019-03-31,Conventional,0.97,202.187
South,Miami/Ft. Lauderdale,2024-03-17,Conventional,0.99932,1718.912
West,San Francisco,2017-04-23,Conventional,1.83,613.564
South,Dallas/Ft. Worth,2021-07-18,Organic,1.253621494,59.659
West,Las Vegas,2022-04-17,Organic,1.955372575,19.276
South,Nashville,2017-09-03,Conventional,1.34,188.702
West,Phoenix/Tucson,2019-12-22,Conventional,0.78,1249.282
South,Charlotte,2021-12-12,Conventional,1.087159814,365.25
South,South Carolina,2023-01-01,Conventional,0.961822839,574.628
South,Jacksonville,2020-04-12,Organic,1.41,2.726
Northeast,Syracuse,2023-10-15,Conventional,1.026071306,88.27
South,Tampa,2021-04-04,Conventional,0.924347176,713.276
West,San Diego,2017-01-02,Organic,1.45,15.753
Midwest,Indianapolis,2021-05-02,Organic,1.450068437,15.434
West,Portland,2019-04-28,Conventional,1.69,486.742
South,Raleigh/Greensboro,2017-09-24,Organic,1.76,14.076
West,Phoenix/Tucson,2018-04-22,Organic,1.48,20.36
Midwest,Cincinnati/Dayton,2021-05-23,Conventional,1.011943959,327.199
Midwest,St. Louis,2018-09-23,Conventional,1.41,173.404
South,Atlanta,2022-05-29,Conventional,1.515390148,777.289
Northeast,Pittsburgh,2020-08-23,Organic,1.51,10.909
South,Louisville,2017-06-18,Conventional,1.06,104.37
West,Spokane,2023-04-23,Conventional,1.171018548,78.567
Northeast,Buffalo/Rochester,2019-07-28,Organic,1.57,8.665
Midwest,Columbus,2018-01-28,Organic,1.43,7.67
West,Las Vegas,2018-01-21,Conventional,1.05,364.156
Northeast,Northern New England,2023-06-25,Organic,1.593184364,17.185
South,Richmond/Norfolk,2021-05-30,Organic,1.085710925,37.946
West,Phoenix/Tucson,2018-07-08,Organic,1.38,23.023
Midwest,Chicago,2021-08-08,Organic,1.593886103,60.3
Midwest,Grand Rapids,2024-11-24,Organic,1.312881873,10.508
South,Dallas/Ft. Worth,2020-03-15,Organic,1.37,52.973
South,New Orleans/Mobile,2021-03-14,Conventional,0.818814144,365.423
Midwest,Cincinnati/Dayton,2019-04-07,Conventional,0.97,303.36
